name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
タイムズ東京堂千代田ビルディング,times-buk0046281,東京都千代田区九段南1-3,35.690767,139.756108,self_propelled,28,TRUE,,,hourly,440,20,,一般,5000,1900,2100,2500,28,,https://times-info.net/P13-tokyo/C101/park-detail-BUK0046281/
タイムズ神田神保町第２０,times-buk0059066,東京都千代田区神田神保町3-7,35.691953,139.756589,self_propelled,3,TRUE,,,hourly,440,15,,一般,5000,1900,2100,2500,3,,https://times-info.net/P13-tokyo/C101/park-detail-BUK0059066/
タイムズ九段南第１０,times-buk0038178,東京都千代田区九段南1-4,35.691711,139.755872,self_propelled,9,TRUE,,,hourly,330,12,,一般,5000,1900,2100,2500,9,,https://times-info.net/P13-tokyo/C101/park-detail-BUK0038178/
タイムズ神田神保町第１７,times-buk0039986,東京都千代田区神田神保町3-11,35.692153,139.757561,self_propelled,2,TRUE,,,hourly,440,15,,一般,5000,1900,2100,2500,2,,https://times-info.net/P13-tokyo/C101/park-detail-BUK0039986/
タイムズ新富町駅前,times-buk0046784,東京都中央区新富2-2,35.668464,139.775647,self_propelled,1,TRUE,,,hourly,440,20,,一般,5000,1900,2100,2500,1,,https://times-info.net/P13-tokyo/C102/park-detail-BUK0046784/
タイムズ築地２丁目第４,times-buk0057894,東京都中央区築地2-8,35.666019,139.775528,self_propelled,4,TRUE,,,hourly,440,12,,一般,5000,1900,2100,2500,4,,https://times-info.net/P13-tokyo/C102/park-detail-BUK0057894/
タイムズ新富２丁目,times-buk0031795,東京都中央区新富2-2,35.668625,139.775647,self_propelled,8,TRUE,,,hourly,440,20,,一般,5000,1900,2100,2500,8,,https://times-info.net/P13-tokyo/C102/park-detail-BUK0031795/
タイムズ芝公園２丁目第４,times-buk0061446,東京都港区芝公園2-3,35.653692,139.755722,self_propelled,2,TRUE,,,hourly,440,12,,一般,5000,1900,2100,2500,2,,https://times-info.net/P13-tokyo/C103/park-detail-BUK0061446/
タイムズ芝大門１丁目,times-buk0069419,東京都港区芝大門1-13,35.653867,139.756633,self_propelled,20,TRUE,,,hourly,440,12,,一般,5000,1900,2100,2500,20,,https://times-info.net/P13-tokyo/C103/park-detail-BUK0069419/
タイムズ港芝公園二駐車場,times-buk0070392,東京都港区芝公園2-5,35.652539,139.754258,self_propelled,67,TRUE,,,hourly,300,10,,一般,5000,1900,2100,2500,67,,https://times-info.net/P13-tokyo/C103/park-detail-BUK0070392/
